imp,feat,tcr
2.8400423434108164e-06,epi_1$chem$charge_Positive,OT1
3.764323279151849e-05,"epi_1$chem$charge_Positive, 10% Neutral, 90%",OT1
1.9697485382289518e-05,epi_1$one_hot$is_A,OT1
2.586673109475195e-05,epi_1$one_hot$is_C,OT1
1.53519002512287e-06,epi_1$one_hot$is_D,OT1
3.205136354535061e-08,epi_1$one_hot$is_E,OT1
1.8385975102076926e-06,epi_1$one_hot$is_F,OT1
2.1527851839569435e-05,epi_1$one_hot$is_G,OT1
3.5716707512003474e-05,epi_1$one_hot$is_H,OT1
6.760783477299479e-05,epi_1$one_hot$is_I,OT1
0.0,epi_1$one_hot$is_K,OT1
4.448002289333847e-06,epi_1$one_hot$is_L,OT1
4.935409003578331e-07,epi_1$one_hot$is_M,OT1
2.9959607887864316e-05,epi_1$one_hot$is_N,OT1
2.034943875326806e-06,epi_1$one_hot$is_P,OT1
1.037324332320661e-07,epi_1$one_hot$is_Q,OT1
3.6447402629135464e-07,epi_1$one_hot$is_R,OT1
2.88454566811435e-06,epi_1$one_hot$is_S,OT1
1.7588806933444417e-06,epi_1$one_hot$is_T,OT1
3.933905484937899e-05,epi_1$one_hot$is_V,OT1
8.056713956780252e-07,epi_1$one_hot$is_W,OT1
4.190467419083163e-05,epi_1$one_hot$is_Y,OT1
0.000649487073316582,epi_2$factors2$factor0,OT1
0.0007191341913846424,epi_2$factors2$factor1,OT1
0.0008248579575495889,epi_2$factors2$factor2,OT1
0.0006907460944839113,epi_2$factors2$factor3,OT1
0.000556897346010714,epi_2$factors2$factor4,OT1
0.0005095321062702637,epi_2$factors$factor0,OT1
0.0006352344629929136,epi_2$factors$factor1,OT1
0.0005354036562435395,epi_2$factors$factor2,OT1
0.00047503318108698675,epi_2$factors$factor3,OT1
0.000693370553458508,epi_2$factors$factor4,OT1
0.0005384720582329583,epi_2$blosum$blosum_A,OT1
0.0004814326412409142,epi_2$blosum$blosum_R,OT1
0.00047096247046156495,epi_2$blosum$blosum_N,OT1
0.0004062924076754279,epi_2$blosum$blosum_D,OT1
0.0006111238581613094,epi_2$blosum$blosum_C,OT1
0.00041080259559509515,epi_2$blosum$blosum_Q,OT1
0.0003958146905235467,epi_2$blosum$blosum_E,OT1
0.00048036086635962053,epi_2$blosum$blosum_G,OT1
0.0009245005310332745,epi_2$blosum$blosum_H,OT1
0.0005338872881028656,epi_2$blosum$blosum_I,OT1
0.0006979737483345945,epi_2$blosum$blosum_L,OT1
0.0004847147122945626,epi_2$blosum$blosum_K,OT1
0.0005906931256159996,epi_2$blosum$blosum_M,OT1
0.0007985816696930328,epi_2$blosum$blosum_F,OT1
0.0004003546139191237,epi_2$blosum$blosum_P,OT1
0.00039072315186687893,epi_2$blosum$blosum_S,OT1
0.00037262288855179906,epi_2$blosum$blosum_T,OT1
0.0005094888385687133,epi_2$blosum$blosum_W,OT1
0.0007591281662028599,epi_2$blosum$blosum_Y,OT1
0.0008261669073208387,epi_2$chem$hydropathy,OT1
0.0010011874211156425,epi_2$chem$mass,OT1
0.0006026907241571657,epi_2$chem$abundance,OT1
5.888742699294666e-05,epi_2$chem$class_Acid,OT1
0.0002530253457248083,epi_2$chem$class_Aliphatic,OT1
0.00012126570557227582,epi_2$chem$class_Amide,OT1
0.00030752000851726684,epi_2$chem$class_Aromatic,OT1
7.004959089436757e-05,epi_2$chem$class_Basic,OT1
5.3969864318631373e-05,epi_2$chem$class_Basic aromatic,OT1
4.3867217452818656e-05,epi_2$chem$class_Cyclic,OT1
6.563708284029678e-05,epi_2$chem$class_Hydroxylic,OT1
8.71562868014461e-05,epi_2$chem$class_Sulfuric,OT1
6.676219515553309e-05,epi_2$chem$polarity_Acidic polar,OT1
8.282458858372796e-05,epi_2$chem$polarity_Basic polar,OT1
0.0001820924178518803,epi_2$chem$polarity_Nonpolar,OT1
0.00016526561639000457,epi_2$chem$polarity_Polar,OT1
7.089691381983536e-05,epi_2$chem$charge_Negative,OT1
0.00010779608949296733,epi_2$chem$charge_Neutral,OT1
5.407685056729653e-05,epi_2$chem$charge_Positive,OT1
4.782592789217544e-05,"epi_2$chem$charge_Positive, 10% Neutral, 90%",OT1
8.512427319514021e-05,epi_2$one_hot$is_A,OT1
5.3670603080306986e-05,epi_2$one_hot$is_C,OT1
5.300646643059725e-05,epi_2$one_hot$is_D,OT1
2.5596860533445012e-05,epi_2$one_hot$is_E,OT1
0.00017395617209162655,epi_2$one_hot$is_F,OT1
4.002014145272462e-05,epi_2$one_hot$is_G,OT1
4.9653689404530005e-05,epi_2$one_hot$is_H,OT1
0.00019551528025145025,epi_2$one_hot$is_I,OT1
3.6794537955716466e-05,epi_2$one_hot$is_K,OT1
3.849083252938282e-05,epi_2$one_hot$is_L,OT1
3.498873223455513e-05,epi_2$one_hot$is_M,OT1
